Date,Category,Amount,Description
2023-04-29,Utilities,243.44,Purchase at Spotify
2023-04-29,Miscellaneous,189.98,Dinner at Just Eat
2023-04-29,Utilities,106.23,Fuel at Spotify
2023-04-29,Shopping,202.95,Clothes at Google
2023-04-29,Insurance,87.97,Bill at Aldi
2023-04-29,Fitness,73.17,Payment at Three
2023-04-29,Travel,478.9,Gadgets at SuperValu
2023-04-29,Fitness,108.09,Top-up at SuperValu
2023-04-29,Rent,1833.34,Fuel at Lidl
2023-04-29,Rent,2150.37,Order at McDonald's
2023-04-29,Insurance,341.54,Order at Aer Lingus
2023-04-29,Transport,10.33,Workshop at H&M
2023-04-29,Dining Out,41.12,Clothes at Vodafone
2023-04-29,Shopping,485.91,Coffee at Boots
2023-04-29,Subscriptions,10.13,Fuel at Netflix
2023-04-29,Insurance,265.41,Pharmacy at SuperValu
2023-04-29,Healthcare,14.18,Hardware at Gym+Coffee
2023-04-29,Education,576.03,Membership at Three
2023-04-29,Miscellaneous,36.41,Bill at Irish Water
2023-04-29,Travel,1077.33,Gadgets at SuperValu
2023-04-29,Food,16.93,Lunch at Lidl
2023-04-29,Groceries,85.56,Snacks at Aer Lingus
2023-04-30,Entertainment,21.31,Pharmacy at Just Eat
2023-04-30,Fitness,90.23,Shoes at Irish Water
2023-04-30,Miscellaneous,130.38,Dinner at KFC
2023-04-30,Healthcare,45.46,Payment at SSE Airtricity
2023-04-30,Education,72.68,Hardware at Ryanair
2023-04-30,Miscellaneous,134.42,Coffee at Irish Rail
2023-04-30,Dining Out,29.9,Shoes at Shell
2023-04-30,Rent,1604.63,Taxi at Three
2023-04-30,Fitness,26.91,Dinner at Ryanair
2023-04-30,Taxes,398.04,Pharmacy at Starbucks
2023-04-30,Utilities,47.91,Membership at Three
2023-04-30,Healthcare,81.21,Pharmacy at H&M
2023-04-30,Taxes,837.19,Transfer at Aer Lingus
2023-04-30,Fitness,90.13,Snacks at McDonald's
2023-04-30,Dining Out,17.25,Booking at Shell
2023-04-30,Insurance,182.53,Transfer at Google
2023-04-30,Healthcare,334.8,Renewal at Three
2023-04-30,Shopping,194.38,Bill at Specsavers
2023-04-30,Dining Out,17.38,Pharmacy at SSE Airtricity
2023-04-30,Groceries,64.69,Bill at Electric Ireland
2023-04-30,Groceries,95.72,Fuel at Circle K
2023-04-30,Entertainment,47.42,Fuel at Zara
2023-04-30,Rent,1139.4,Course Fee at Irish Water
2023-04-30,Miscellaneous,110.68,Purchase at Irish Rail
2023-04-30,Transport,21.83,Taxi at Bolt
2023-04-30,Insurance,321.83,Fuel at Three
2023-04-30,Dining Out,35.27,Hardware at Shell
2023-04-30,Fitness,116.09,Subscription at SuperValu
2023-04-30,Subscriptions,17.66,Taxi at Domino's
2023-04-30,Fitness,27.53,Subscription at Subway
2023-04-30,Shopping,149.87,Bill at Ryanair
2023-04-30,Insurance,183.7,Dinner at SuperValu
2023-04-30,Healthcare,365.09,Taxi at KFC
2023-04-30,Miscellaneous,20.41,Coffee at Irish Water
2023-04-30,Insurance,130.25,Dinner at Apple
2023-04-30,Transport,18.97,Shoes at Dublin Bus
2023-04-30,Travel,1084.3,Snacks at Circle K
2023-04-30,Education,133.53,Renewal at McDonald's
2023-04-30,Subscriptions,11.34,Transfer at Three
2023-04-30,Entertainment,17.15,Groceries at Steam
2023-04-30,Healthcare,306.98,Gadgets at KFC
2023-04-30,Groceries,23.93,Bill at SuperValu
2023-04-30,Entertainment,48.25,Bill at Specsavers
2023-04-30,Utilities,51.3,Snacks at H&M
2023-04-30,Food,13.15,Hardware at Electric Ireland
2023-04-30,Dining Out,54.88,Hardware at McDonald's
2023-04-30,Miscellaneous,188.1,Renewal at Bolt
2023-04-30,Travel,1081.03,Payment at Zara
2023-04-30,Food,19.78,Coffee at SSE Airtricity
2023-04-30,Utilities,237.04,Renewal at SSE Airtricity
2023-04-30,Gifts,33.41,Coffee at Dublin Bus
2023-04-30,Dining Out,23.38,Clothes at Uber
2023-04-30,Gifts,53.04,Taxi at Irish Water
2023-04-30,Dining Out,39.19,Fuel at Aer Lingus
2023-04-30,Rent,1227.65,Taxi at Gym+Coffee
2023-05-01,Dining Out,40.26,Booking at Aldi
2023-05-01,Shopping,452.04,Top-up at Netflix
2023-05-01,Subscriptions,21.65,Hardware at Gym+Coffee
2023-05-01,Taxes,1146.37,Ticket at Eir
2023-05-01,Transport,7.51,Bill at KFC
2023-05-01,Entertainment,66.83,Pharmacy at Uber
2023-05-01,Entertainment,22.6,Hardware at Aldi
2023-05-01,Entertainment,47.61,Snacks at Circle K
2023-05-01,Transport,28.7,Booking at Decathlon
2023-05-01,Fitness,99.41,Lunch at Google
2023-05-01,Dining Out,34.86,Course Fee at Starbucks
2023-05-01,Dining Out,34.51,Purchase at Aldi
2023-05-01,Food,18.97,Snacks at Aldi
2023-05-01,Groceries,175.13,Payment at Airbnb
2023-05-01,Food,15.01,Payment at Irish Water
2023-05-01,Miscellaneous,62.63,Payment at Circle K
2023-05-01,Food,12.21,Taxi at Subway
2023-05-01,Rent,1760.94,Gadgets at Decathlon
2023-05-01,Groceries,24.96,Workshop at SuperValu
2023-05-01,Subscriptions,11.64,Subscription at Vodafone
2023-05-01,Shopping,491.93,Course Fee at Spotify
2023-05-01,Travel,696.28,Transfer at Steam
2023-05-01,Taxes,807.44,Shoes at Decathlon
2023-05-01,Education,365.71,Fuel at KFC
2023-05-01,Insurance,167.97,Bill at Apple
2023-05-01,Miscellaneous,123.64,Subscription at Google
2023-05-01,Travel,1166.06,Booking at Uber
2023-05-01,Gifts,174.95,Groceries at Amazon
2023-05-01,Taxes,1212.73,Ticket at Boots
2023-05-01,Education,275.56,Purchase at IKEA
2023-05-01,Miscellaneous,54.44,Booking at Eir
2023-05-01,Fitness,105.68,Gadgets at SSE Airtricity
2023-05-01,Entertainment,56.21,Purchase at Irish Water
2023-05-01,Utilities,63.55,Purchase at Domino's
2023-05-01,Insurance,344.41,Membership at Just Eat
2023-05-01,Subscriptions,12.15,Taxi at Vodafone
2023-05-01,Taxes,845.54,Lunch at IKEA
2023-05-01,Utilities,165.04,Transfer at Aldi
2023-05-01,Utilities,149.62,Purchase at Aldi
2023-05-01,Utilities,80.98,Fuel at Amazon
2023-05-01,Subscriptions,8.81,Groceries at Irish Rail
2023-05-01,Entertainment,21.15,Dinner at Gym+Coffee
2023-05-01,Entertainment,38.22,Workshop at Lidl
2023-05-01,Miscellaneous,135.32,Pharmacy at KFC
2023-05-01,Utilities,236.89,Course Fee at Netflix
2023-05-01,Insurance,342.62,Snacks at Netflix
2023-05-01,Groceries,36.12,Subscription at Ryanair
2023-05-02,Utilities,91.82,Top-up at Apple
2023-05-02,Fitness,28.23,Renewal at Starbucks
2023-05-02,Utilities,215.24,Workshop at Apple
2023-05-02,Education,140.04,Workshop at H&M
2023-05-02,Dining Out,29.59,Booking at Just Eat
2023-05-02,Food,8.53,Pharmacy at H&M
2023-05-02,Healthcare,61.58,Bill at Eir
2023-05-02,Education,153.69,Coffee at Vodafone
2023-05-02,Subscriptions,6.82,Clothes at Boots
2023-05-02,Groceries,16.66,Fuel at Steam
2023-05-02,Transport,19.32,Course Fee at Ryanair
2023-05-02,Subscriptions,18.99,Coffee at Eir
2023-05-02,Groceries,29.38,Top-up at McDonald's
2023-05-02,Shopping,48.56,Order at Vodafone
2023-05-02,Taxes,137.79,Subscription at Aldi
2023-05-02,Groceries,35.03,Purchase at Ryanair
2023-05-02,Education,77.67,Dinner at Three
2023-05-02,Subscriptions,5.43,Transfer at Google
2023-05-02,Education,360.6,Dinner at Dublin Bus
2023-05-02,Food,25.07,Taxi at Electric Ireland
2023-05-02,Shopping,131.92,Booking at Steam
2023-05-02,Travel,441.34,Groceries at Aldi
2023-05-02,Insurance,392.19,Bill at Irish Rail
2023-05-02,Shopping,158.48,Subscription at Subway
2023-05-02,Utilities,33.83,Payment at Aer Lingus
2023-05-02,Food,19.64,Dinner at Just Eat
2023-05-02,Education,547.25,Dinner at Shell
2023-05-02,Transport,8.77,Subscription at Shell
2023-05-02,Insurance,207.44,Bill at Gym+Coffee
2023-05-02,Gifts,83.79,Groceries at Irish Water
2023-05-02,Dining Out,38.95,Coffee at H&M
2023-05-02,Transport,11.19,Top-up at Gym+Coffee
2023-05-02,Transport,13.77,Workshop at Tesco
2023-05-02,Miscellaneous,115.24,Workshop at H&M
2023-05-02,Shopping,387.86,Hardware at IKEA
2023-05-02,Healthcare,330.53,Gadgets at Just Eat
2023-05-02,Shopping,112.94,Subscription at H&M
2023-05-02,Insurance,209.19,Membership at IKEA
2023-05-02,Dining Out,21.39,Fuel at Three
2023-05-02,Transport,27.24,Purchase at Amazon
2023-05-02,Entertainment,18.45,Gadgets at Airbnb
2023-05-02,Taxes,529.37,Hardware at Lidl
2023-05-02,Food,8.88,Renewal at Tesco
2023-05-02,Fitness,106.33,Clothes at Aer Lingus
2023-05-02,Rent,1381.16,Membership at Boots
2023-05-02,Fitness,96.58,Course Fee at Lidl
2023-05-02,Gifts,248.67,Groceries at Aldi
2023-05-02,Utilities,164.75,Pharmacy at Netflix
2023-05-02,Insurance,297.7,Order at Subway
2023-05-02,Entertainment,21.3,Taxi at Airbnb
2023-05-02,Entertainment,39.25,Gadgets at Eir
2023-05-02,Travel,592.27,Subscription at Airbnb
2023-05-02,Transport,28.18,Groceries at Apple
2023-05-02,Subscriptions,12.83,Top-up at Zara
2023-05-02,Groceries,52.98,Taxi at IKEA
2023-05-02,Healthcare,282.33,Shoes at Specsavers
2023-05-02,Rent,1919.42,Groceries at Three
2023-05-02,Transport,25.67,Clothes at Starbucks
2023-05-02,Food,22.16,Subscription at Domino's
2023-05-02,Food,23.7,Course Fee at SuperValu
2023-05-02,Groceries,97.56,Dinner at SuperValu
2023-05-02,Travel,1081.45,Fuel at Subway
2023-05-02,Gifts,50.68,Ticket at Aer Lingus
2023-05-02,Taxes,885.66,Transfer at Circle K
2023-05-02,Dining Out,74.87,Purchase at SuperValu
2023-05-03,Travel,624.15,Dinner at Subway
2023-05-03,Food,15.63,Booking at Amazon
2023-05-03,Shopping,487.87,Snacks at Subway
2023-05-03,Education,574.98,Renewal at Decathlon
2023-05-03,Fitness,15.81,Gadgets at Just Eat
2023-05-03,Rent,2108.7,Payment at Netflix
2023-05-03,Subscriptions,7.6,Lunch at Shell
2023-05-03,Dining Out,11.01,Snacks at McDonald's
2023-05-03,Rent,1760.57,Order at Airbnb
2023-05-03,Transport,15.68,Payment at Just Eat
2023-05-03,Food,10.45,Taxi at Subway
2023-05-03,Subscriptions,10.27,Shoes at SSE Airtricity
2023-05-03,Utilities,52.86,Hardware at Electric Ireland
2023-05-03,Rent,1579.97,Booking at Aer Lingus
2023-05-03,Education,93.33,Purchase at Uber
2023-05-03,Healthcare,56.16,Workshop at Google
2023-05-03,Taxes,1452.69,Ticket at Netflix
2023-05-03,Healthcare,303.94,Payment at Boots
2023-05-03,Entertainment,44.7,Order at IKEA
2023-05-03,Groceries,63.27,Lunch at Aer Lingus
2023-05-03,Rent,1521.38,Dinner at Dublin Bus
2023-05-03,Utilities,143.03,Membership at Aer Lingus
2023-05-03,Rent,875.76,Coffee at Electric Ireland
2023-05-03,Shopping,494.75,Order at Ryanair
2023-05-03,Entertainment,18.1,Membership at Decathlon
2023-05-03,Miscellaneous,51.63,Dinner at Irish Rail
2023-05-03,Gifts,213.28,Renewal at Gym+Coffee
2023-05-03,Transport,5.99,Taxi at KFC
2023-05-03,Rent,2107.08,Fuel at SSE Airtricity
2023-05-03,Groceries,40.71,Bill at Apple
2023-05-03,Fitness,125.53,Booking at Three
2023-05-03,Shopping,316.95,Payment at Steam
2023-05-03,Education,283.01,Snacks at IKEA
2023-05-03,Shopping,433.62,Shoes at Subway
2023-05-03,Transport,14.29,Workshop at Electric Ireland
2023-05-03,Travel,509.47,Fuel at Google
2023-05-03,Fitness,123.02,Ticket at Lidl
2023-05-03,Fitness,109.73,Ticket at Airbnb
2023-05-03,Groceries,62.0,Top-up at Aldi
2023-05-03,Taxes,1103.87,Taxi at Steam
2023-05-03,Food,5.0,Renewal at Domino's
2023-05-03,Fitness,99.44,Ticket at Three
2023-05-03,Gifts,152.44,Ticket at Domino's
2023-05-03,Entertainment,46.03,Fuel at Google
2023-05-03,Miscellaneous,34.69,Gadgets at Steam
2023-05-03,Transport,12.14,Subscription at Google
2023-05-03,Taxes,1297.73,Course Fee at Uber
2023-05-03,Insurance,113.75,Booking at Tesco
2023-05-03,Rent,2133.73,Renewal at McDonald's
2023-05-03,Rent,1092.36,Taxi at Irish Water
2023-05-03,Rent,719.79,Coffee at Starbucks
2023-05-03,Shopping,295.55,Booking at Specsavers
2023-05-03,Rent,1772.11,Workshop at Three
2023-05-04,Shopping,141.41,Bill at Lidl
2023-05-04,Miscellaneous,4.46,Lunch at Zara
2023-05-04,Taxes,1916.63,Dinner at Irish Rail
2023-05-04,Transport,15.67,Subscription at Irish Rail
2023-05-04,Utilities,58.25,Fuel at H&M
2023-05-04,Insurance,347.02,Course Fee at Gym+Coffee
2023-05-04,Utilities,243.09,Ticket at Three
2023-05-04,Subscriptions,11.36,Bill at Ryanair
2023-05-04,Shopping,158.09,Dinner at IKEA
2023-05-04,Subscriptions,5.21,Course Fee at Irish Rail
2023-05-04,Travel,815.15,Pharmacy at Amazon
2023-05-04,Insurance,200.26,Taxi at Vodafone
2023-05-04,Utilities,82.24,Payment at SSE Airtricity
2023-05-04,Miscellaneous,109.99,Pharmacy at Lidl
2023-05-04,Groceries,34.98,Fuel at Gym+Coffee
2023-05-04,Groceries,65.41,Lunch at Netflix
2023-05-04,Subscriptions,13.37,Purchase at Apple
2023-05-04,Entertainment,50.67,Taxi at Aer Lingus
2023-05-04,Rent,1863.84,Fuel at IKEA
2023-05-04,Education,38.47,Order at Irish Water
2023-05-04,Taxes,1471.5,Transfer at Bolt
2023-05-04,Transport,28.58,Course Fee at Specsavers
2023-05-04,Transport,15.38,Transfer at SSE Airtricity
2023-05-04,Travel,77.74,Bill at Steam
2023-05-04,Food,8.69,Dinner at KFC
2023-05-04,Fitness,95.42,Purchase at Netflix
2023-05-04,Food,17.61,Gadgets at Subway
2023-05-04,Rent,790.09,Membership at Three
2023-05-04,Taxes,1191.3,Top-up at Irish Water
2023-05-04,Shopping,205.39,Transfer at Circle K
2023-05-04,Education,303.98,Renewal at H&M
2023-05-04,Entertainment,21.25,Purchase at Electric Ireland
2023-05-04,Gifts,170.12,Hardware at Circle K
2023-05-04,Healthcare,378.77,Booking at SSE Airtricity
2023-05-04,Food,37.0,Renewal at Airbnb
2023-05-04,Education,379.14,Transfer at IKEA
2023-05-04,Utilities,244.91,Payment at Airbnb
2023-05-04,Education,280.95,Hardware at Shell
2023-05-04,Rent,1266.78,Groceries at KFC
2023-05-04,Healthcare,90.35,Lunch at KFC
2023-05-04,Groceries,65.91,Subscription at SuperValu
2023-05-04,Taxes,1183.34,Gadgets at McDonald's
2023-05-04,Healthcare,208.28,Groceries at Ryanair
2023-05-04,Utilities,43.64,Fuel at Steam
2023-05-04,Travel,835.34,Snacks at Decathlon
2023-05-04,Education,578.06,Order at Lidl
2023-05-04,Groceries,138.53,Pharmacy at Spotify
2023-05-04,Groceries,57.77,Groceries at Three
2023-05-04,Groceries,54.52,Fuel at McDonald's
2023-05-04,Subscriptions,12.2,Clothes at Aldi
2023-05-04,Miscellaneous,189.98,Top-up at Gym+Coffee
2023-05-04,Entertainment,28.41,Top-up at SuperValu
2023-05-05,Travel,778.29,Order at Steam
2023-05-05,Subscriptions,17.31,Taxi at Uber
2023-05-05,Subscriptions,14.14,Taxi at Steam
2023-05-05,Food,11.35,Lunch at Just Eat
2023-05-05,Shopping,136.04,Taxi at Irish Rail
2023-05-05,Education,415.12,Course Fee at Vodafone
2023-05-05,Gifts,165.89,Subscription at Gym+Coffee
2023-05-05,Taxes,562.08,Order at Netflix
2023-05-05,Subscriptions,28.76,Dinner at Ryanair
2023-05-05,Education,425.07,Hardware at Decathlon
2023-05-05,Healthcare,80.73,Course Fee at Domino's
2023-05-05,Entertainment,32.01,Hardware at Shell
2023-05-05,Education,68.64,Lunch at Irish Water
2023-05-05,Miscellaneous,75.42,Ticket at Domino's
2023-05-05,Subscriptions,12.12,Taxi at Zara
2023-05-05,Subscriptions,5.06,Renewal at Vodafone
2023-05-05,Fitness,137.95,Fuel at Electric Ireland
2023-05-05,Dining Out,20.12,Taxi at SuperValu
2023-05-05,Groceries,74.47,Dinner at Irish Water
2023-05-05,Travel,453.76,Dinner at Electric Ireland
2023-05-05,Utilities,77.19,Top-up at Steam
2023-05-05,Transport,20.59,Fuel at Steam
2023-05-05,Taxes,179.4,Top-up at Bolt
2023-05-05,Fitness,43.48,Order at KFC
2023-05-05,Miscellaneous,147.33,Order at Decathlon
2023-05-05,Subscriptions,12.58,Membership at Bolt
2023-05-05,Utilities,173.2,Top-up at H&M
2023-05-05,Travel,880.78,Payment at Aldi
2023-05-05,Travel,734.3,Clothes at Gym+Coffee
2023-05-05,Rent,1809.45,Lunch at Three
2023-05-05,Insurance,103.32,Snacks at Ryanair
2023-05-05,Fitness,55.75,Transfer at Shell
2023-05-05,Taxes,1167.68,Subscription at Decathlon
2023-05-05,Subscriptions,8.28,Gadgets at Vodafone
2023-05-05,Entertainment,49.0,Workshop at Bolt
2023-05-05,Food,10.19,Gadgets at Airbnb
2023-05-05,Rent,636.95,Dinner at Eir
2023-05-05,Healthcare,308.07,Course Fee at Apple
2023-05-05,Groceries,174.2,Lunch at Aer Lingus
2023-05-05,Entertainment,99.22,Top-up at Uber
2023-05-05,Education,57.97,Fuel at Just Eat
2023-05-05,Entertainment,25.49,Ticket at Domino's
2023-05-05,Subscriptions,9.94,Snacks at McDonald's
2023-05-05,Fitness,44.29,Course Fee at Lidl
2023-05-05,Rent,708.39,Payment at Lidl
2023-05-05,Insurance,177.59,Fuel at Tesco
2023-05-05,Dining Out,37.97,Shoes at Aer Lingus
2023-05-05,Groceries,57.81,Fuel at Tesco
2023-05-05,Entertainment,12.7,Snacks at Starbucks
2023-05-05,Groceries,92.35,Coffee at Decathlon
2023-05-05,Education,568.92,Clothes at Irish Water
2023-05-05,Food,15.83,Ticket at Tesco
2023-05-05,Utilities,63.54,Taxi at Bolt
2023-05-05,Miscellaneous,75.58,Groceries at Netflix
2023-05-05,Education,427.54,Fuel at Aldi
2023-05-05,Travel,739.08,Coffee at Aer Lingus
2023-05-05,Utilities,174.06,Snacks at Three
2023-05-05,Miscellaneous,124.42,Taxi at Boots
2023-05-06,Subscriptions,24.96,Snacks at Uber
2023-05-06,Dining Out,29.31,Renewal at SuperValu
2023-05-06,Utilities,141.38,Lunch at McDonald's
2023-05-06,Travel,45.01,Purchase at Airbnb
2023-05-06,Healthcare,226.32,Shoes at IKEA
2023-05-06,Food,21.61,Shoes at Netflix
2023-05-06,Transport,8.05,Booking at Domino's
2023-05-06,Taxes,558.32,Clothes at Electric Ireland
2023-05-06,Taxes,1105.82,Membership at Domino's
2023-05-06,Rent,1970.12,Workshop at Domino's
2023-05-06,Taxes,594.32,Groceries at Decathlon
2023-05-06,Dining Out,40.74,Renewal at Tesco
2023-05-06,Food,23.79,Workshop at Three
2023-05-06,Travel,746.04,Order at Specsavers
2023-05-06,Travel,868.13,Ticket at Aldi
2023-05-06,Rent,2040.78,Purchase at Gym+Coffee
2023-05-06,Dining Out,33.98,Subscription at Zara
2023-05-06,Utilities,92.84,Dinner at Starbucks
2023-05-06,Taxes,309.15,Payment at Bolt
2023-05-06,Fitness,79.58,Dinner at SuperValu
2023-05-06,Shopping,17.62,Booking at Ryanair
2023-05-06,Shopping,126.15,Order at SuperValu
2023-05-06,Education,525.97,Shoes at Circle K
2023-05-06,Miscellaneous,137.31,Purchase at Google
2023-05-06,Entertainment,22.91,Purchase at Subway
2023-05-06,Healthcare,379.3,Ticket at Just Eat
2023-05-06,Taxes,106.33,Shoes at Tesco
2023-05-06,Utilities,249.3,Order at Eir
2023-05-06,Shopping,392.21,Fuel at Decathlon
2023-05-06,Food,23.05,Shoes at Amazon
2023-05-06,Shopping,12.59,Dinner at Netflix
2023-05-06,Subscriptions,14.75,Dinner at SSE Airtricity
2023-05-06,Utilities,83.8,Top-up at Lidl
2023-05-06,Utilities,218.62,Pharmacy at Lidl
2023-05-06,Education,478.18,Membership at Airbnb
2023-05-06,Travel,769.48,Membership at H&M
2023-05-06,Dining Out,13.26,Shoes at Google
2023-05-06,Dining Out,37.96,Course Fee at Aldi
2023-05-06,Groceries,29.23,Transfer at Steam
2023-05-06,Shopping,216.28,Taxi at Dublin Bus
2023-05-06,Gifts,62.24,Workshop at Specsavers
2023-05-06,Taxes,244.01,Payment at H&M
2023-05-06,Education,421.11,Renewal at Amazon
2023-05-06,Entertainment,31.13,Order at Irish Water
2023-05-06,Rent,1272.4,Order at Apple
2023-05-06,Entertainment,44.73,Groceries at Steam
2023-05-06,Utilities,90.88,Bill at Steam
2023-05-06,Travel,215.45,Taxi at Apple
2023-05-06,Transport,11.67,Renewal at Aer Lingus
2023-05-06,Fitness,33.18,Snacks at SSE Airtricity
2023-05-06,Transport,9.95,Coffee at Starbucks
2023-05-06,Insurance,188.34,Workshop at Bolt
2023-05-06,Dining Out,9.52,Subscription at Domino's
2023-05-06,Miscellaneous,75.25,Order at Ryanair
2023-05-07,Subscriptions,13.25,Order at Irish Rail
2023-05-07,Entertainment,14.41,Bill at Apple
2023-05-07,Insurance,261.5,Order at Electric Ireland
2023-05-07,Utilities,218.68,Renewal at Specsavers
2023-05-07,Healthcare,172.51,Booking at Starbucks
2023-05-07,Subscriptions,31.86,Top-up at SSE Airtricity
2023-05-07,Utilities,220.12,Dinner at Dublin Bus
2023-05-07,Transport,9.13,Renewal at SuperValu
2023-05-07,Food,7.56,Clothes at Steam
2023-05-07,Transport,6.69,Renewal at Eir
2023-05-07,Food,14.06,Subscription at Just Eat
2023-05-07,Food,28.59,Ticket at Aldi
2023-05-07,Travel,921.7,Booking at Eir
2023-05-07,Insurance,312.68,Dinner at Bolt
2023-05-07,Gifts,33.58,Clothes at Irish Water
2023-05-07,Food,10.18,Hardware at Lidl
2023-05-07,Entertainment,47.33,Taxi at Aer Lingus
2023-05-07,Gifts,47.18,Order at Amazon
2023-05-07,Travel,689.76,Hardware at Gym+Coffee
2023-05-07,Utilities,177.96,Order at Aldi
2023-05-07,Groceries,42.84,Gadgets at Shell
2023-05-07,Gifts,26.79,Clothes at Starbucks
2023-05-07,Subscriptions,11.53,Renewal at Gym+Coffee
2023-05-07,Travel,791.31,Fuel at Tesco
2023-05-07,Transport,9.09,Workshop at SSE Airtricity
2023-05-07,Insurance,348.61,Pharmacy at Lidl
2023-05-07,Subscriptions,7.95,Ticket at Shell
2023-05-07,Subscriptions,21.25,Coffee at Gym+Coffee
2023-05-07,Taxes,1149.53,Fuel at Spotify
2023-05-07,Fitness,120.84,Fuel at Ryanair
2023-05-07,Gifts,12.2,Transfer at McDonald's
2023-05-07,Dining Out,22.84,Transfer at Electric Ireland
2023-05-07,Miscellaneous,146.17,Lunch at Just Eat
2023-05-07,Insurance,392.68,Gadgets at Irish Rail
2023-05-07,Dining Out,8.67,Groceries at Just Eat
2023-05-07,Shopping,34.59,Renewal at Decathlon
2023-05-07,Gifts,214.21,Transfer at Irish Rail
2023-05-07,Rent,1246.06,Clothes at Gym+Coffee
2023-05-07,Education,407.37,Taxi at Domino's
2023-05-07,Healthcare,161.75,Fuel at Aer Lingus
2023-05-07,Gifts,89.36,Shoes at Steam
2023-05-07,Education,499.04,Renewal at Irish Water
2023-05-07,Gifts,148.99,Shoes at Starbucks
2023-05-07,Transport,8.16,Workshop at Amazon
2023-05-07,Travel,697.5,Order at Specsavers
2023-05-07,Rent,1023.47,Snacks at Zara
2023-05-08,Groceries,44.21,Booking at Lidl
2023-05-08,Gifts,126.89,Course Fee at Decathlon
2023-05-08,Subscriptions,11.18,Payment at Airbnb
2023-05-08,Gifts,30.68,Coffee at Electric Ireland
2023-05-08,Miscellaneous,69.55,Subscription at SuperValu
2023-05-08,Food,32.5,Shoes at Irish Water
2023-05-08,Fitness,28.34,Hardware at KFC
2023-05-08,Entertainment,84.67,Workshop at Steam
2023-05-08,Miscellaneous,172.26,Shoes at Apple
2023-05-08,Dining Out,37.59,Top-up at SuperValu
2023-05-08,Education,192.71,Fuel at Irish Rail
2023-05-08,Groceries,145.31,Taxi at Irish Water
2023-05-08,Transport,7.55,Fuel at Airbnb
2023-05-08,Fitness,144.81,Shoes at IKEA
2023-05-08,Healthcare,305.64,Purchase at Three
2023-05-08,Entertainment,16.73,Transfer at Gym+Coffee
2023-05-08,Gifts,104.84,Ticket at Domino's
2023-05-08,Education,556.4,Taxi at Vodafone
2023-05-08,Rent,1710.75,Gadgets at SuperValu
2023-05-08,Fitness,30.87,Payment at Steam
2023-05-08,Rent,2055.38,Subscription at Shell
2023-05-08,Groceries,130.2,Workshop at Irish Water
2023-05-08,Healthcare,65.76,Dinner at Just Eat
2023-05-08,Transport,17.28,Hardware at Gym+Coffee
2023-05-08,Fitness,77.97,Snacks at Uber
2023-05-08,Groceries,44.41,Gadgets at Bolt
2023-05-08,Transport,10.78,Course Fee at SSE Airtricity
2023-05-08,Dining Out,31.3,Renewal at Ryanair
2023-05-08,Groceries,49.0,Order at Bolt
2023-05-08,Gifts,48.02,Shoes at Just Eat
2023-05-08,Subscriptions,10.55,Workshop at Apple
2023-05-08,Utilities,49.32,Snacks at SuperValu
2023-05-08,Fitness,89.68,Dinner at Three
2023-05-08,Subscriptions,13.36,Fuel at Domino's
2023-05-08,Miscellaneous,82.33,Snacks at Gym+Coffee
2023-05-08,Gifts,37.42,Purchase at Spotify
2023-05-08,Utilities,123.9,Groceries at Zara
2023-05-08,Utilities,174.5,Ticket at Gym+Coffee
2023-05-08,Taxes,408.75,Taxi at Uber
2023-05-08,Dining Out,37.77,Ticket at Bolt
2023-05-08,Subscriptions,20.83,Clothes at Dublin Bus
2023-05-08,Miscellaneous,43.19,Order at Airbnb
2023-05-08,Groceries,94.38,Groceries at KFC
2023-05-08,Dining Out,30.16,Top-up at IKEA
2023-05-08,Dining Out,50.36,Renewal at Just Eat
2023-05-08,Transport,10.42,Dinner at IKEA
2023-05-08,Miscellaneous,184.85,Purchase at Google
2023-05-09,Miscellaneous,47.03,Order at Uber
2023-05-09,Fitness,146.38,Payment at Tesco
2023-05-09,Food,8.4,Lunch at Electric Ireland
2023-05-09,Shopping,262.57,Workshop at Zara
2023-05-09,Travel,989.68,Subscription at Ryanair
2023-05-09,Entertainment,14.24,Ticket at SuperValu
2023-05-09,Utilities,121.6,Course Fee at Steam
2023-05-09,Miscellaneous,39.81,Membership at Gym+Coffee
2023-05-09,Utilities,140.19,Ticket at SSE Airtricity
2023-05-09,Rent,2192.99,Course Fee at Aldi
2023-05-09,Utilities,53.56,Clothes at Aer Lingus
2023-05-09,Utilities,165.69,Coffee at Netflix
2023-05-09,Transport,8.02,Top-up at Bolt
2023-05-09,Insurance,172.62,Booking at Eir
2023-05-09,Food,9.3,Fuel at Steam
2023-05-09,Food,10.58,Taxi at Dublin Bus
2023-05-09,Fitness,59.18,Bill at Three
2023-05-09,Subscriptions,12.14,Workshop at Irish Water
2023-05-09,Fitness,11.46,Purchase at Subway
2023-05-09,Entertainment,35.22,Groceries at Specsavers
2023-05-09,Healthcare,33.44,Payment at Google
2023-05-09,Utilities,123.24,Transfer at Spotify
2023-05-09,Groceries,56.54,Order at KFC
2023-05-09,Shopping,402.23,Course Fee at SuperValu
2023-05-09,Entertainment,107.76,Payment at Ryanair
2023-05-09,Entertainment,16.41,Taxi at Steam
2023-05-09,Travel,212.7,Payment at Circle K
2023-05-09,Food,8.03,Order at Aldi
